reference,indice,mois,n,valeur,etendue_pct,brut,rapport,fournisseurs
Epex DAM (M-1),BELIX,2026-06,1,91.77,0.0,91.77,1.0,cociter
Epex DAM (M-1),BELIX,2026-07,1,112.13,0.0,112.13,1.0,cociter
Epex DAM (M-1),BELIX,2026-08,1,109.25,0.0,109.25,1.0,cociter
Epex DAM (M-1),BELIX,2026-09,1,108.52,0.0,129.32,0.8392,cociter
Epex DAM (M-1),BELPEXM_RLP,2026-01,4,87.237,0.05,85.35,1.0221,total
Epex DAM (M-1),BELPEXM_RLP,2026-02,4,111.04,0.02,108.52,1.0232,total
Epex DAM (M-1),BELPEXM_RLP,2026-03,5,87.456,0.02,85.13,1.0273,total
Epex DAM (M-1),BELPEXM_RLP,2026-04,2,97.651,0.06,92.57,1.0549,total
Epex DAM (M-1),BELPEXM_RLP,2026-05,4,84.721,0.06,78.94,1.0732,total
Epex DAM (M-1),BELPEXM_RLP,2026-06,4,98.102,0.03,91.77,1.069,total
Epex DAM (M-1),BELPEXM_RLP,2026-07,4,121.068,0.04,112.13,1.0797,total
Epex DAM (M-1),BELPEXM_RLP,2026-08,4,114.458,0.05,109.25,1.0477,total
Epex DAM (M-1),BELPEXM_RLP,2026-09,4,135.114,0.03,129.32,1.0448,total
Epex DAM (M-1),Belpex,2026-01,1,85.351,0.0,85.35,1.0,luminus
Epex DAM (trimestre),Belpex,2026-01,1,82.185,0.0,82.23,0.9994,luminus
Epex DAM (M-1),Belpex,2026-02,1,108.461,0.0,108.52,0.9995,luminus
Epex DAM (trimestre),Belpex,2026-02,1,82.19,0.0,82.23,0.9995,luminus
Epex DAM (M-1),Belpex,2026-03,1,85.087,0.0,85.13,0.9995,luminus
Epex DAM (trimestre),Belpex,2026-03,1,82.19,0.0,82.23,0.9995,luminus
Epex DAM (M-1),Belpex,2026-04,1,92.566,0.0,92.57,1.0,luminus
Epex DAM (trimestre),Belpex,2026-04,1,95.725,0.0,95.407,1.0033,luminus
Epex DAM (M-1),Belpex,2026-05,1,78.941,0.0,78.94,1.0,luminus
Epex DAM (trimestre),Belpex,2026-05,1,95.725,0.0,95.407,1.0033,luminus
Epex DAM (M-1),Belpex,2026-06,1,91.719,0.0,91.77,0.9994,luminus
Epex DAM (trimestre),Belpex,2026-06,1,95.725,0.0,95.407,1.0033,luminus
Epex DAM (M-1),Belpex,2026-07,1,112.067,0.0,112.13,0.9994,luminus
Epex DAM (trimestre),Belpex,2026-07,1,94.222,0.0,94.28,0.9994,luminus
Epex DAM (M-1),Belpex,2026-08,1,109.287,0.0,109.25,1.0003,luminus
Epex DAM (trimestre),Belpex,2026-08,1,94.227,0.0,94.28,0.9994,luminus
Epex DAM (M-1),Belpex,2026-09,1,129.346,0.0,129.32,1.0002,luminus
Epex DAM (trimestre),Belpex,2026-09,1,94.227,0.0,94.28,0.9994,luminus
Epex DAM (M-1),Belpex RLP M,2026-03,1,87.389,0.0,85.13,1.0265,luminus
