observed_at,energie,mois,indice,valeur,source,sha256
2026-09-15T04:53:26+00:00,electricite,2026-09,Endex 303,95.66,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2026-09,Endex 103,98.21,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2026-09,Endex 101,134.51,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2026-08,Endex 303,95.66,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2026-08,Endex 103,98.21,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2026-08,Endex 101,118.12,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2026-08,Epex DAM,129.32,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2026-07,Endex 303,95.66,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2026-07,Endex 103,98.21,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2026-07,Endex 101,97.67,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2026-07,Epex DAM,109.25,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2026-06,Endex 303,80.19,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2026-06,Endex 103,95.68,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
2026-09-15T04:53:26+00:00,electricite,2026-06,Endex 101,91.55,https://www.engie.be/fr/energie/electricite-gaz/prix-conditions/parametres-indexation/parametres-indexation-electricite/,1089a45e86c25e47
